@RELATION P1Mario-data-training-T3Original

@ATTRIBUTE MergedObs[7][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][11] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE distanceEnemy NUMERIC
@ATTRIBUTE distanceCoin NUMERIC
@ATTRIBUTE isOnGround {Ground, Air}
@ATTRIBUTE isEnemy {Enemy, NoEnemy}
@ATTRIBUTE isEnemyBelow {Enemy, NoEnemy}
@ATTRIBUTE isCoin {Coin, NoCoin}
@ATTRIBUTE action {move, jump, move_jump, still}
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE futureReward NUMERIC

@data
0,0,0,0,0,-24,1,1414,1029,Air,Enemy,NoEnemy,NoCoin,move,487,497
0,0,0,0,0,1,0,1414,984,Ground,NoEnemy,Enemy,NoCoin,move,487,529
0,0,0,0,0,-60,-60,1414,538,Air,NoEnemy,NoEnemy,NoCoin,move,497,529
0,0,0,0,0,0,0,1414,984,Air,NoEnemy,NoEnemy,NoCoin,move,497,529
0,0,0,2,2,0,2,1414,800,Air,NoEnemy,NoEnemy,Coin,move,497,593
0,0,0,0,0,0,1,1414,1414,Air,Enemy,NoEnemy,NoCoin,move,593,603
0,0,0,0,0,1,-60,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,603,603
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,603,603
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,603,603
0,0,0,0,0,0,1,1414,1414,Air,Enemy,NoEnemy,NoCoin,move,603,603
0,0,0,0,0,1,0,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,603,603
0,0,2,2,2,-24,-24,1414,806,Air,NoEnemy,NoEnemy,Coin,move,603,699
0,0,2,2,2,-24,-24,1414,806,Air,NoEnemy,NoEnemy,Coin,move,603,699
0,0,2,2,2,-24,-24,1414,806,Ground,NoEnemy,NoEnemy,Coin,move,603,699
0,0,0,0,2,-24,-24,1414,806,Ground,NoEnemy,NoEnemy,NoCoin,move,635,699
0,0,0,0,0,1,0,1414,1081,Air,NoEnemy,Enemy,NoCoin,move,699,657
0,0,0,0,0,0,1,1414,1029,Air,Enemy,NoEnemy,NoCoin,move,699,657
0,0,0,-60,-60,-60,-60,1414,721,Ground,NoEnemy,NoEnemy,NoCoin,move,657,657
0,0,0,-60,-60,-60,-60,1414,721,Ground,NoEnemy,NoEnemy,NoCoin,move,657,657
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,still,-1,-1
0,0,0,0,0,0,1,1414,1414,Air,Enemy,NoEnemy,NoCoin,move,-1,9
0,0,0,0,0,1,0,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,-1,9
0,0,2,2,2,-24,-24,1414,700,Ground,NoEnemy,NoEnemy,Coin,move,-3,77
0,0,2,2,2,-24,-24,1414,700,Ground,NoEnemy,NoEnemy,Coin,move,-3,77
0,0,2,2,2,-24,-24,1414,700,Ground,NoEnemy,NoEnemy,Coin,move,-3,77
0,0,0,0,2,-24,-24,1414,700,Ground,NoEnemy,NoEnemy,NoCoin,move,29,77
0,0,2,2,2,-24,1,1414,141,Ground,Enemy,NoEnemy,Coin,move,29,77
0,0,0,0,0,1,0,1414,316,Air,NoEnemy,Enemy,NoCoin,move,77,183
0,0,0,0,-24,-60,-60,1414,360,Air,NoEnemy,NoEnemy,NoCoin,move,87,183
0,0,0,0,2,0,-24,1414,223,Air,NoEnemy,NoEnemy,NoCoin,move,87,183
0,0,0,2,2,0,2,1414,100,Air,NoEnemy,NoEnemy,Coin,move,87,183
0,0,0,0,2,1,-24,1414,921,Air,NoEnemy,Enemy,NoCoin,move,375,449
0,0,0,-24,-24,-60,-60,1414,282,Air,NoEnemy,NoEnemy,NoCoin,move,385,449
0,0,0,0,2,0,-24,1414,921,Air,NoEnemy,NoEnemy,NoCoin,move,385,449
0,0,0,2,2,0,2,1414,806,Air,NoEnemy,NoEnemy,Coin,move,385,459
0,0,0,0,0,0,1,1414,1414,Air,Enemy,NoEnemy,NoCoin,move,449,459
0,0,0,0,0,-24,1,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,459,459
0,0,0,0,2,1,-24,1414,447,Ground,NoEnemy,Enemy,NoCoin,move,459,565
0,0,0,-24,-24,-60,-60,1414,538,Air,NoEnemy,NoEnemy,NoCoin,move,469,565
0,0,0,0,2,0,-24,1414,447,Air,NoEnemy,NoEnemy,NoCoin,move,469,565
0,0,0,2,2,0,2,1414,316,Air,NoEnemy,NoEnemy,Coin,move,469,565
0,0,0,1,0,-60,-60,1414,500,Ground,Enemy,NoEnemy,NoCoin,move,565,633
-24,0,0,0,0,1,0,1414,984,Air,NoEnemy,Enemy,NoCoin,move,575,665
0,0,0,0,-60,-60,-60,1414,500,Air,NoEnemy,NoEnemy,NoCoin,move,591,665
0,0,0,0,-60,0,-60,1414,500,Air,NoEnemy,NoEnemy,NoCoin,move,601,665
